# Time-averaged data for fix 33
# TimeStep v_szz
1000 -2.63833
2000 -2.37443
3000 -1.76257
4000 -1.65778
5000 -0.967018
6000 -0.925873
7000 -0.644681
8000 0.130449
9000 0.28367
10000 0.793374
11000 0.919609
12000 1.3056
13000 1.87751
14000 1.92861
15000 2.42941
16000 2.68532
17000 3.02924
18000 3.48335
19000 3.61819
20000 4.06615
21000 4.4303
22000 4.76305
23000 5.1539
24000 5.36359
25000 5.86058
26000 6.10298
27000 6.42503
28000 6.75539
29000 6.85174
30000 6.90828
31000 6.86382
32000 6.69987
33000 6.04062
34000 5.52227
35000 5.18615
36000 4.99074
37000 5.06309
38000 4.63931
39000 4.23926
40000 3.92619
41000 3.59119
42000 3.30044
43000 2.96173
44000 2.52101
45000 2.26477
46000 1.87002
47000 1.65506
48000 1.2775
49000 0.942303
50000 0.673926
51000 0.238568
52000 -0.0865851
53000 -0.39638
54000 -0.746009
55000 -1.0286
56000 -1.4167
57000 -1.79284
58000 -2.12087
59000 -2.45301
60000 -2.73792
61000 -3.09585
62000 -3.4509
63000 -3.72787
64000 -4.10476
65000 -4.44562
66000 -4.76404
67000 -5.03628
68000 -5.31937
69000 -5.58068
70000 -5.86563
71000 -6.27444
72000 -6.53859
73000 -6.81913
74000 -7.25272
75000 -7.47026
76000 -7.75485
77000 -7.98097
78000 -8.26209
79000 -8.56022
80000 -8.88992
81000 -9.15482
82000 -9.28901
83000 -9.52542
84000 -9.86197
85000 -10.1085
86000 -10.3797
87000 -10.4908
88000 -10.7338
89000 -10.9766
90000 -11.3447
91000 -11.4308
92000 -11.6863
93000 -11.823
94000 -12.0495
95000 -12.2617
96000 -12.4405
97000 -12.7214
98000 -12.8388
99000 -13.0273
100000 -13.2532
101000 -13.3685
102000 -13.529
103000 -13.7194
104000 -13.926
105000 -14.1711
106000 -14.2613
107000 -14.3083
108000 -14.5995
109000 -14.6253
110000 -14.6888
111000 -14.7527
112000 -14.5742
113000 -14.5039
114000 -13.8007
115000 -12.8622
116000 -11.4907
117000 -10.6299
118000 -9.73538
119000 -9.55948
120000 -9.43828
121000 -9.46566
122000 -9.48108
123000 -9.64606
124000 -9.79469
125000 -9.91446
126000 -9.99235
127000 -10.2162
128000 -10.2908
129000 -10.3907
130000 -10.574
131000 -10.6216
132000 -10.6933
133000 -10.8256
134000 -10.9238
135000 -11.091
136000 -11.0859
137000 -11.0812
138000 -11.1986
139000 -11.2613
140000 -11.3698
141000 -11.517
142000 -11.5983
143000 -11.7816
144000 -11.7815
145000 -11.8249
146000 -11.957
147000 -11.9902
148000 -11.8794
149000 -12.1384
150000 -12.2112
151000 -12.2273
152000 -12.3367
153000 -12.1627
154000 -12.0069
155000 -12.1505
156000 -12.2085
157000 -12.3501
158000 -12.2951
159000 -12.4432
160000 -12.5607
