# Time-averaged data for fix 33
# TimeStep v_syy
100 0.552942
200 0.527756
300 0.719141
400 0.936531
500 1.13257
600 1.40233
700 1.27383
800 1.15782
900 1.03718
1000 0.76771
1100 0.757857
1200 0.888439
1300 1.16622
1400 1.24374
1500 1.26795
1600 1.1527
1700 0.840425
1800 0.786735
1900 1.13439
2000 1.33265
2100 1.68414
2200 1.69671
2300 1.83325
2400 1.72405
2500 1.5915
2600 1.74997
2700 2.00506
2800 2.27465
2900 2.50813
3000 2.3548
3100 2.301
3200 2.21846
3300 1.98413
3400 1.8735
3500 1.82657
3600 1.9874
3700 2.09473
3800 2.0366
3900 2.10442
4000 2.21346
4100 2.16108
4200 2.29705
4300 2.52722
4400 2.75776
4500 2.94997
4600 3.0053
4700 2.81534
4800 2.62596
4900 2.5117
5000 2.86912
5100 2.80679
5200 2.9825
5300 3.0906
5400 3.23529
5500 2.98103
5600 3.04241
5700 2.98267
5800 3.14017
5900 3.38196
6000 3.65607
6100 3.70748
6200 3.50773
6300 3.73673
6400 3.67178
6500 3.56023
6600 3.69677
6700 3.82697
6800 4.13077
6900 4.19872
7000 4.18849
7100 4.15693
7200 3.88713
7300 4.01477
7400 4.05094
7500 3.90753
7600 3.77904
7700 3.90403
7800 3.97691
7900 4.09913
8000 4.13221
8100 4.13639
8200 4.06873
8300 4.1697
8400 4.37092
8500 4.46983
8600 4.38299
8700 4.5535
8800 4.80693
8900 4.81974
9000 4.68353
9100 4.81083
9200 5.15668
9300 5.34006
9400 5.51454
9500 5.46535
9600 5.50614
9700 5.43692
9800 5.32385
9900 5.26155
10000 5.22942
10100 5.31415
10200 5.46354
10300 5.50333
10400 5.1215
10500 4.98935
10600 4.93097
10700 4.94644
10800 4.98682
10900 5.02833
11000 5.05697
11100 5.40222
11200 5.67455
11300 5.61205
11400 5.5917
11500 5.5559
11600 5.76309
11700 6.04504
11800 6.09877
11900 6.26745
12000 6.07966
12100 6.26677
12200 6.23743
12300 6.00745
12400 6.03093
12500 6.123
12600 6.17966
12700 6.14664
12800 6.08798
12900 5.98437
13000 6.04643
13100 5.88529
13200 6.10371
13300 6.34698
13400 6.46014
13500 6.58509
13600 6.649
13700 6.73489
13800 6.63961
13900 6.6973
14000 6.81408
14100 6.99712
14200 7.17655
14300 7.24547
14400 7.27029
14500 7.16105
14600 6.97272
14700 6.93557
14800 6.91989
14900 6.9385
15000 6.75853
15100 6.48544
15200 6.40184
15300 6.32935
15400 6.40095
15500 6.51714
15600 6.32746
15700 6.36397
15800 6.71269
15900 6.97793
16000 7.17268
16100 7.08143
16200 6.72812
16300 6.59055
16400 6.67723
16500 6.69817
16600 6.75154
16700 6.67761
16800 6.53198
16900 6.40416
17000 6.40263
17100 6.32872
17200 6.08063
17300 6.17488
17400 6.35348
17500 6.46578
17600 6.47409
17700 6.62664
17800 6.53677
17900 6.49906
18000 6.66547
18100 6.81616
18200 6.84932
18300 7.33178
18400 7.44637
18500 7.53074
18600 7.62058
18700 7.54772
18800 7.49182
18900 7.37591
19000 7.392
19100 7.35336
19200 7.30303
19300 7.20018
19400 7.10412
19500 7.07804
19600 6.62547
19700 6.49269
19800 6.71576
19900 6.96397
20000 6.84314
20100 6.65599
20200 6.39303
20300 6.37338
20400 6.64311
20500 6.77599
20600 6.59707
20700 6.69557
20800 6.87304
20900 7.08306
21000 7.26148
21100 7.17319
21200 7.1658
21300 7.11551
21400 7.17929
21500 6.90251
21600 6.80287
21700 6.83593
21800 6.83327
21900 6.8402
22000 6.62399
22100 6.5753
22200 6.84435
22300 6.74975
22400 6.44103
22500 6.36893
22600 6.40644
22700 6.4411
22800 6.33305
22900 6.47775
23000 6.2549
23100 6.26338
23200 6.18608
23300 6.14271
23400 5.90693
23500 5.93389
23600 6.20969
23700 6.18356
23800 6.05249
23900 5.99687
24000 6.15197
24100 6.02223
24200 6.09139
24300 6.13096
24400 6.17427
24500 6.4366
24600 6.31105
24700 6.52644
24800 6.40185
24900 6.32151
25000 6.11623
25100 6.09358
25200 6.58429
25300 6.54627
25400 6.56218
25500 6.8015
25600 6.62024
25700 6.4437
25800 6.46672
25900 6.48902
26000 6.3012
26100 6.74419
26200 6.88752
26300 7.14562
26400 7.04276
26500 6.77965
26600 7.03605
26700 7.19032
26800 7.23064
26900 7.72016
27000 7.54276
27100 7.59033
27200 7.85395
27300 7.69657
27400 7.58426
27500 7.48247
27600 7.51805
27700 7.68283
27800 7.60534
27900 7.67442
28000 7.82317
28100 7.72226
28200 7.76418
28300 7.63424
28400 7.70567
28500 7.79256
28600 7.92545
28700 7.63726
28800 7.50187
28900 7.24523
29000 6.92153
29100 6.60607
29200 6.30641
29300 5.82149
29400 5.35864
29500 4.91531
29600 4.66999
29700 4.24015
29800 3.44139
29900 2.79933
30000 2.83463
